iter	Logloss	AUC	Accuracy
444	0.4875259347	0.8511944413	0.7646210172
445	0.4874457063	0.8512440324	0.764616287
446	0.487375086	0.8513039947	0.7646257474
447	0.487292862	0.8513742089	0.7647771134
448	0.4872254568	0.851429522	0.7647250814
449	0.4871503651	0.8514791429	0.7648386059
450	0.4870777492	0.8515344858	0.7649426701
451	0.4869974099	0.8515865207	0.7650136229
452	0.4869372109	0.8516325355	0.7650372739
453	0.4868697687	0.8516782522	0.7650609248
454	0.4867980768	0.8517129719	0.7650278135
455	0.4867242045	0.8517744243	0.7650703852
456	0.4866581666	0.8518198133	0.7651366079
457	0.4865821879	0.8518868387	0.7652122909
458	0.4864932751	0.8519364595	0.7652974343
459	0.4864185899	0.8519883454	0.7654204193
460	0.4863463436	0.8520445526	0.7653825778
461	0.4862726931	0.8521085382	0.7655197533
462	0.4862171873	0.8521338105	0.765462991
463	0.4861460496	0.8521919847	0.7654819118
464	0.4860796053	0.8522388935	0.7655575948
465	0.4860119414	0.8522903919	0.7655575948
466	0.4859505598	0.852339834	0.7656711194
467	0.4858934279	0.8523939252	0.7656995005
468	0.4858178927	0.8524474502	0.765661659
469	0.4857535917	0.8525035977	0.7657704533
470	0.4856912493	0.8525391221	0.7657278816
471	0.4856168596	0.8525922298	0.765737342
472	0.485532714	0.8526582718	0.7658177552
473	0.4854516356	0.8526925445	0.7658650571
474	0.4853906605	0.8527464867	0.765860327
475	0.4853038911	0.8528173566	0.7660873761
476	0.485242842	0.8528551757	0.766134678
477	0.4851699306	0.852894187	0.7661772497
478	0.4850912173	0.8529554605	0.7661630591
479	0.4849671976	0.8530429006	0.7662765837
480	0.4848979077	0.8530822396	0.7664042988
481	0.4848402585	0.8531311154	0.7665272837
482	0.4847717816	0.8531662226	0.7666124272
483	0.4847011614	0.8532172441	0.7666644592
484	0.4846242588	0.853276372	0.766607697
485	0.4845438087	0.8533154726	0.766584046
486	0.4844734101	0.8533632755	0.7667117611
487	0.4844200477	0.8534064293	0.7667117611
488	0.4843598117	0.8534577489	0.7668158253
489	0.4842886001	0.853523612	0.7669624612
490	0.4842165017	0.8535696268	0.7670144933
491	0.4841596285	0.8536174297	0.7670428744
492	0.4840895996	0.8536786437	0.7671753198
493	0.4840211596	0.8537107706	0.767255733
494	0.4839547522	0.8537492454	0.7673172255
495	0.4838760758	0.8537992239	0.7673881783
496	0.4838154333	0.8538423777	0.7674733217
497	0.48375383	0.8538876176	0.7674733217
498	0.4836544221	0.8539478183	0.7674827821
499	0.4835930774	0.8539919853	0.7675206236
500	0.4835207203	0.8540502191	0.7676483388
501	0.4834604473	0.85408777	0.7677098312
502	0.4833935595	0.8541322947	0.7677571331
503	0.483322348	0.8541888595	0.7677760539
504	0.4832413065	0.8542439342	0.767804435
505	0.4831761555	0.8543014526	0.767903769
506	0.4831210932	0.8543345332	0.7679416105
507	0.4830678046	0.8543766737	0.7678611973
508	0.4829853958	0.8544348478	0.7680078332
509	0.4829283749	0.8544822931	0.7679699917
510	0.4828665129	0.8545348048	0.7681166276
511	0.4828147764	0.854577899	0.7681071672
512	0.4827527666	0.8546282053	0.7682206917
513	0.4826773792	0.8546894789	0.7683389465
514	0.4826132999	0.8547318578	0.7684051692
515	0.4825471881	0.8547787666	0.7683862484
516	0.4824773069	0.854824245	0.7685376145
517	0.4824079062	0.8548901081	0.7685896466
518	0.4823426074	0.8549352884	0.7686038371
519	0.4822774194	0.8549715877	0.7686842504
520	0.4822198072	0.8550184965	0.7687362824
521	0.4821748334	0.855050385	0.7687930447
522	0.4821087956	0.8551094532	0.768750473
523	0.4820550636	0.855145812	0.7686700598
524	0.4820039184	0.8551710248	0.7688592674
525	0.4819524776	0.8551952243	0.7688971089
526	0.4818881765	0.8552469015	0.7689160297
527	0.4818212517	0.8552996516	0.7688687278
528	0.4817563594	0.8553358316	0.7689207599
529	0.4816956061	0.8553860188	0.7689586014
530	0.4816364048	0.8554374576	0.7689917127
531	0.4815714386	0.8554849625	0.7691383486
532	0.4815042551	0.8555302918	0.7693180958
533	0.4814377368	0.8555653691	0.7692518732
534	0.4813939825	0.8555998802	0.7693039052
535	0.4813071392	0.8556514978	0.7694316204
536	0.4812466815	0.8557027578	0.7695924468
537	0.4811819	0.8557354808	0.769620828
538	0.4811215901	0.8557885885	0.7696775903
539	0.4810662691	0.8558287919	0.7696492091
540	0.4810042592	0.8558751345	0.7696870506
541	0.4809108749	0.8559470177	0.7698526073
542	0.4808495303	0.8559914231	0.7697674639
543	0.4807772101	0.8560409546	0.7698762582
544	0.4807054073	0.8560842574	0.7698147658
545	0.4806593988	0.8561216593	0.7699046394
546	0.4806048169	0.8561677933	0.7699188299
547	0.4805525631	0.8562085629	0.7699661318
548	0.4805065176	0.8562397361	0.7698999092
549	0.4804386689	0.8562850356	0.7698857186
550	0.4803763265	0.8563174605	0.7700228941
551	0.4803162753	0.8563649654	0.7700749262
552	0.4802613607	0.8564020395	0.7701222281
553	0.4801855668	0.8564539552	0.7702735942
554	0.4801274372	0.8564965725	0.7702546734
555	0.4800476892	0.8565427065	0.7702735942
556	0.4799856054	0.856577754	0.7702735942
557	0.4799249999	0.8566431999	0.7703350867
558	0.4798731895	0.8566817045	0.7703634678
559	0.4798031975	0.8567348719	0.7703823886
560	0.4797462504	0.8567740321	0.7703350867
561	0.4796833906	0.856821835	0.7703871187
562	0.4796214178	0.8568725586	0.7703871187
563	0.4795289943	0.8569412827	0.7704296905
564	0.4794606283	0.8569872379	0.7706236282
565	0.4793945534	0.8570328653	0.7706898509
566	0.4793368303	0.8570716977	0.7707608038
567	0.4792829505	0.8571248055	0.7708317566
568	0.4792174669	0.8571689725	0.770841217
569	0.4791687608	0.8572075367	0.7709783925
570	0.4791025011	0.8572527766	0.7710256944
571	0.4790408609	0.8572964668	0.7710115038
572	0.4789733448	0.8573487401	0.7710635359
573	0.4789159543	0.8573955297	0.7711628699
574	0.4788604854	0.8574317098	0.771191251
575	0.4788169159	0.8574773669	0.7712953152
576	0.4787650317	0.8575177789	0.771314236
577	0.4787100802	0.8575413227	0.7713378869
578	0.4786470725	0.8575856686	0.7714419511
579	0.4785933405	0.8576031327	0.7713993794
580	0.4785189879	0.8576467633	0.7714656021
581	0.4784416049	0.8576946259	0.7714939832
582	0.4783835862	0.8577295542	0.7715034436
583	0.4783265283	0.8577637672	0.7715554757
584	0.4782731289	0.8578131795	0.7715791266
585	0.4781945264	0.8578743339	0.7716406191
586	0.4781350664	0.8579204082	0.7717021116
587	0.4780732414	0.8579747677	0.771763604
588	0.4780266786	0.8580008745	0.7718156361
589	0.4779759029	0.8580363989	0.7718771286
590	0.4779227992	0.8580831885	0.7720001135
591	0.4778452314	0.8581527472	0.7720190343
592	0.4777913886	0.8581930995	0.7720001135
593	0.4777074647	0.8582470417	0.7720284947
594	0.4776273101	0.8583109975	0.7721089079
595	0.4775632678	0.8583464026	0.7721940513
596	0.4775051382	0.8583945036	0.7723454174
597	0.4774435348	0.8584368229	0.7723454174
598	0.4773746884	0.8584810495	0.7724211004
599	0.4773110156	0.8585219383	0.7723501476
600	0.4772566554	0.8585694432	0.7723406872
601	0.4772003735	0.8585947156	0.7723974495
602	0.4771321183	0.8586307764	0.7725157042
603	0.4770882902	0.8586719632	0.7725630061
604	0.4770345582	0.858713448	0.7725157042
605	0.4769822305	0.8587415218	0.7725913873
606	0.4769211814	0.8587896824	0.7726576099
607	0.4768741382	0.8588212132	0.7726528797
608	0.4768271689	0.8588633537	0.7726623401
609	0.476770924	0.858908534	0.7726907213
610	0.4767125357	0.8589480519	0.7727664043
611	0.4766583233	0.8589863181	0.7728042458
